id,emri,lloji_trashegimise,kategoria,periudha,periudha_detaj,komuna,rajon,lat,lon,easting_kosovaref01,northing_kosovaref01,sistemi_projeksion,koordinata_burimi,saktesia_koordinates,gjendja,status_mbrojtjes,pershkrim_i_shkurter,burimi,url_dtk,verifikuar,shenime
"ARK-001","Kisha paleokristiane në Nikadin","arkeologjike","vendbanim","antikitet_i_vone","Antikiteti i Vonë","Ferizaj","Kosovë","42.350172","21.175275","7514440.337","4690078.651","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Fshati Nikadin, tashmë pothuajse paralagje e qytetit të Ferizajt, gjendet vetëm 2 kilometra në jug të saj, i pozicionuar në një tokë shumë të plleshme bujqësore. Gjatë viteve gjashtëdhjetë të shekullit XX, janë evidentua...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=9462","po","klasa=Lokalitet Arkeologjik; heritageId=9462"
"ARK-002","Lokalitet Arkeologjik në Greme të Ferizajit","arkeologjike","vendbanim","antikitet_i_vone","Antikiteti i Vonë","Ferizaj","Kosovë","42.3380327","21.151677","7512498.579","4688726.615","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","OSM Nominatim (fshati Greme); DTK pa koordinatë — vendosje e përafërt","e përafërt","e mirë","e pa përcaktuar","Duke u mbështetur në gjurmët e rrënojave dhe themeleve që u vërejtën në këtë lokalitet mund të thuhet se kemi të bëjmë me një objekt kulti të periudhës paleokristiane të shekujve V-VII. Muret, gjegjësisht themelet, janë ...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=9305","po","klasa=Lokalitet Arkeologjik; heritageId=9305"
"ARK-003","Lokalitet arkeologjik në Nerodimen e Ulët","arkeologjike","vendbanim","romak","Romake","Ferizaj","Kosovë","42.367786","21.092381","7507608.844","4692024.277","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Në vitin 1988, në fshatin Nerodime e Ultë, e pozicionuar në perëndim të qytetit të Ferizajt, disa sondazhe arkeologjike të zhvilluara këtu në arealin fare pranë varreve ortodokse, rezultuan me zbulimin e një kompleksi pr...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=9307","po","klasa=Lokalitet Arkeologjik; heritageId=9307"
"ARK-004","Lokaliteti arkeologjik 'Tuma-Gur'-Nekropol romak","arkeologjike","nekropoli","romak","Romake","Ferizaj","Kosovë","42.3465658","21.1387342","7511430.512","4689672.556","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","OSM Nominatim (fshati Zaskok); DTK pa koordinatë — vendosje e përafërt","e përafërt","e mirë","e pa përcaktuar","Fshati Zaskok gjendet rreth 3 km në jug-perëndim të qytetit të Ferizajt. Lokaliteti arkeologjik i identifikuar si TUMA-GUR gjendet pranë shkollës së vjetër si dhe pranë Zyrës së Vendit të fshatit Zaskok. Në vitin 1981 ja...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=8890","po","klasa=Lokalitet Arkeologjik; heritageId=8890"
"ARK-005","Lokaliteti Arkeologjik Neolitik në Varosh","arkeologjike","vendbanim","neolit","Neolit","Ferizaj","Kosovë","42.46825","20.789611","7482699.212","4703200.156","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Lokaliteti neolitik i identifikuar i Varoshit ndodhet në komunën e Ferizajt, gjegjësisht vetëm 2 km në jug, juglindje të këtij qyteti, në fshatin me po të njëjtin emër. Bazuar në materialin e lëvizshëm arkeologjik, kryes...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=9299","po","klasa=Lokalitet Arkeologjik; heritageId=9299"
"ARK-006","Fortesa parahistorike e Bellaçecit (Bardh i Madh)","arkeologjike","fortifikate_kalaje","bronz","Epoka e Bronzit","Fushë Kosovë","Kosovë","42.633864","21.010958","7500898.723","4721573.993","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Fortesa e Bellaçecit (Bardh i Madh) gjendet mbi një kodër të mbrojtur nga konfiguracioni i terrenit natyror nga anët veriore, jugore dhe lindore, ndërsa nga perëndimi mbrohet nga ledhet gjegjësisht hendeqet mbrojtës. Far...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=2399","po","klasa=Lokalitet Arkeologjik; heritageId=2399"
"ARK-007","Kalaja e Harilaqit","arkeologjike","fortifikate_kalaje","antikitet_i_vone","Antikiteti i Vonë","Fushë Kosovë","Kosovë","42.578442","20.997022","7499755.542","4715417.998","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Kalaja-fortesa e Harilaqit (shek. IV-VI) gjendet mbi një kodër të njohur si Gradina e Harilaqit, e ngritur në një pozitë mjaft dominante, në perëndim të fshatit Harilaq, në lartësinë mbidetare prej maksimum 766 metra mbi...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=2384","po","klasa=Monument; heritageId=2384"
"ARK-008","Nekropolë Mesjetare në Graboc të Ulët","arkeologjike","vendbanim","mesjetar","Mesjetë e Hershme","Fushë Kosovë","Kosovë","42.650606","21.004394","7500360.278","4723433.556","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Lokaliteti arkeologjik i Grabocit të Ulët ndodhet prane vendbanimit eponim, buzë lumit Drenicë, afër 10 km në perëndim të Fushë-Kosovës. Në lagjen e Berishëve, në vendin e njohur me emrin Bahçe, fillimisht në vitin 2004 ...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=2375","po","klasa=Lokalitet Arkeologjik; heritageId=2375"
"ARK-009","Nekropoli i tumulave të Rogovës","arkeologjike","nekropoli","bronz","Epoka e Bronzit","Gjakovë","Kosovë","42.332183","20.57445","7464930.299","4688153.460","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Nekropoli i tumulave të Rogovës gjendet në lokacionin e njohur me emrin Fusha, rreth 4 km në juglindje të nekropolit tumular të Fshejt, në krahun e djathtë të rrugës Gjakovë-Prizren. Ky kompleks nekropolesh përbëhej prej...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=9454","po","klasa=Lokalitet Arkeologjik; heritageId=9454"
"ARK-010","Nekropoli tumular i Ponoshecit","arkeologjike","nekropoli","hekur","Epoka e Hekurit","Gjakovë","Kosovë","42.404594","20.279761","7440712.930","4696359.694","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Nekropoli tumular i Ponoshecit ndodhet në parcelat e tokave të njohur me toponimin lokal si Arëza, fare pranë përroit Labenicë. Kjo varrezë me tumula, është e grupuar në pesë tuma të evidentuara deri tani dhe shtrihet në...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=9455","po","klasa=Lokalitet Arkeologjik; heritageId=9455"
"ARK-011","Tuma ilire te ura e Fshejt - Ujzë","arkeologjike","nekropoli","bronz","Epoka e Bronzit","Gjakovë","Kosovë","42.347419","21.537747","7544305.215","4689898.055","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Nekropoli tumular i Fshejit i takon periudhës së vonë të hekurit (VII-VI p.e.s.) dhe gjatë hulumtimeve arkeologjike të zhvilluara këtu në vitin 2011 u gërmuan pesë tuma, këto me inventar mjaft të pasur të lëndës arkeolog...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=8749","po","klasa=Lokalitet Arkeologjik; heritageId=8749"
"ARK-012","Kalaja e Pogragjës","arkeologjike","fortifikate_kalaje","antikitet_i_vone","Antikiteti i Vonë","Gjilan","Kosovë","42.427219","21.553786","7545568.925","4698769.936","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Kalaja e Pogragjës gjendet 10 kilometra në juglindje të Gjilanit, përkatësisht rreth 1 km larg prej fshatit Pogragjë. Është e pozicionuar në grykën e Llapushnicës, në lartësi mbidetare prej 567 m dhe poshtë te këmbët e k...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=22","po","klasa=Monument; heritageId=22"
"ARK-013","Nekropoli tumular Ilir i Llashticës","arkeologjike","nekropoli","hekur","Epoka e Hekurit","Gjilan","Kosovë","42.394325","21.485183","7539944.701","4695081.850","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Nekropoli i tumulave në Llashticë gjendet rreth 10 km në verilindje të qytetit të Gjilanit, në krahun e djathtë të Moravës së Binçës, e shtrirë në një sipërfaqe të gjerë të tokave punuese të fshatit Llashticë buzë maleve...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=445","po","klasa=Lokalitet Arkeologjik; heritageId=445"
"ARK-014","Gjyteti i Madh dhe Gjyteti i Vogël në Vuçak","arkeologjike","vendbanim","antikitet_i_vone","Antikiteti i Vonë","Gllogoc","Kosovë","42.587817","20.821122","7485318.464","4716474.817","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Në fshatin Vuçak rrëzë malit Kasmaç, rreth 12 km në jugperëndim të Drenasit, e vendosur në një pozitë shumë dominuese, vërehen gjurmët e rrënojave të mureve që përcjellin konfiguracionin e kodrës dhe formojnë Gradinën e ...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=2423","po","klasa=Lokalitet Arkeologjik; heritageId=2423"
"ARK-015","Kalaja e Llapushnikut","arkeologjike","fortifikate_kalaje","bronz","Epoka e Bronzit","Gllogoc","Kosovë","42.565558","20.844158","7487204.610","4713998.696","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Shtrihet rrëzë majave të maleve të Drenicës, në jug të Grykës së Llapushnikut, rreth 10 km në jugperëndim të qendrës komunale të Drenasit. Kalaja e Llapushnikut kishte një mur kështjellar me dimensione rreth 200 me 300 m...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=9464","po","klasa=Lokalitet Arkeologjik; heritageId=9464"
"ARK-016","Municipium Ulpiana-Justiniana Secunda","arkeologjike","vendbanim","romak","Romake","Graçanicë","Kosovë","42.596644","21.175225","7514379.684","4717454.638","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Lokaliteti arkeologjik Ulpiana gjendet rreth 12 km në jug-lindje të Prishtinës, (Komuna e Graçanicës, Rajoni i Prishtinës), e pozicionuar ne tokat qe sot i takojnë fshatrave të Graçanicës, Llaplla Sellës dhe Hajvalisë. L...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=6688","po","klasa=Lokalitet Arkeologjik; heritageId=6688"
