id,emri,lloji_trashegimise,kategoria,periudha,periudha_detaj,komuna,rajon,lat,lon,easting_kosovaref01,northing_kosovaref01,sistemi_projeksion,koordinata_burimi,saktesia_koordinates,gjendja,status_mbrojtjes,pershkrim_i_shkurter,burimi,url_dtk,verifikuar,shenime
"LUA-001","Cigarellëk","luajtshme","objekt_luajtshme","i panjohur","","Kaçanik","Kosovë","42.2280602","21.2579777","7521295.038","4676533.304","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","OSM Nominatim / DTK","e përafërt","e mirë","e pa përcaktuar","Cigarellëk - Ka shërbyer për pirjen e duhanit, Begracë - Kaçanik. Shek. XIX.","DTK","https://dtk.rks-gov.net/Objekti?heritageId=9806","po","klasa=N.A.; heritageId=9806"
"LUA-002","Mbajtëse gotash (Ferash)","luajtshme","objekt_luajtshme","i panjohur","","Kaçanik","Kosovë","42.2280602","21.2579777","7521295.038","4676533.304","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","OSM Nominatim / DTK","e përafërt","e mirë","e pa përcaktuar","Mbajtëse gotash (Ferash) -Është gjetur në Begracë të Kaçanikut, i përket gjysmës së parë të shek XX.","DTK","https://dtk.rks-gov.net/Objekti?heritageId=9799","po","klasa=N.A.; heritageId=9799"
"LUA-003","Këmishë burri","luajtshme","objekt_luajtshme","i panjohur","","Klinë","Kosovë","42.6179925","20.5761100","7465225.697","4719898.119","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","OSM Nominatim / DTK","e përafërt","e mirë","e pa përcaktuar","Këmishë burri- Pjesë e veshjes popullore shqiptare, nga pëlhura e punuar në vek. I përket shek.XX","DTK","https://dtk.rks-gov.net/Objekti?heritageId=9822","po","klasa=N.A.; heritageId=9822"
"LUA-004","Arkë","luajtshme","objekt_luajtshme","i panjohur","","N.A.","Kosovë","42.6638771","21.1640849","7513450.997","4724920.686","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","OSM Nominatim (Prishtinë, Kosovo)","e përafërt","e mirë","e pa përcaktuar","Arkë- është orendi e cila ka shërbyer për vendosjen e rrobave dhe stolive të ndryshme. Është një objekt personal i çdo gruaje, në të cilen janë ruajtur gjërat personale dhe intime, është blerë me rastin e marteses, pra k...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=9808","po","klasa=N.A.; heritageId=9808"
"LUA-005","Çerep","luajtshme","objekt_luajtshme","i panjohur","","N.A.","Kosovë","42.6638771","21.1640849","7513450.997","4724920.686","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","OSM Nominatim (Prishtinë, Kosovo)","e përafërt","e mirë","e pa përcaktuar","Enë balte e punuar nga shtëpiaket për pjekjen e bukës, në përdorim deri në shek. XX.","DTK","https://dtk.rks-gov.net/Objekti?heritageId=9790","po","klasa=N.A.; heritageId=9790"
"LUA-006","Djep foshnjash","luajtshme","objekt_luajtshme","i panjohur","","N.A.","Kosovë","42.6638771","21.1640849","7513450.997","4724920.686","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","OSM Nominatim (Prishtinë, Kosovo)","e përafërt","e mirë","e pa përcaktuar","Djep foshnjash -I punuar nga druri, ka shërbyer si shtrat fëmije dhe për përkundjen e tyre. I përdorur deri në shek. XX.","DTK","https://dtk.rks-gov.net/Objekti?heritageId=9804","po","klasa=N.A.; heritageId=9804"
"LUA-007","Furkë","luajtshme","objekt_luajtshme","i panjohur","","N.A.","Kosovë","42.6638771","21.1640849","7513450.997","4724920.686","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","OSM Nominatim (Prishtinë, Kosovo)","e përafërt","e mirë","e pa përcaktuar","Mjet i prodhuar nga druri që ka shërbyer për tjerrjen e leshit, linit etj. I përket shek. XX","DTK","https://dtk.rks-gov.net/Objekti?heritageId=9812","po","klasa=N.A.; heritageId=9812"
"LUA-008","Ibrik druri","luajtshme","objekt_luajtshme","i panjohur","","N.A.","Kosovë","42.6638771","21.1640849","7513450.997","4724920.686","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","OSM Nominatim (Prishtinë, Kosovo)","e përafërt","e mirë","e pa përcaktuar","Enë për mbajtjen e ujit. I përket shek. XIX.","DTK","https://dtk.rks-gov.net/Objekti?heritageId=9798","po","klasa=N.A.; heritageId=9798"
"LUA-009","Këmishë femrash","luajtshme","objekt_luajtshme","i panjohur","","N.A.","Kosovë","42.6638771","21.1640849","7513450.997","4724920.686","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","OSM Nominatim (Prishtinë, Kosovo)","e përafërt","e mirë","e pa përcaktuar","Këmishë femrash- Është pjesë e veshjes popullore të Rrafshit të Dukagjinit, nga pëlhura e punuar në vek . Pjesa e përpareme e jakës është e prerë në formë të germës "" T "" , ndërsa jaka dhe mëngët janë të zbukuruara me mo...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=9824","po","klasa=N.A.; heritageId=9824"
"LUA-010","Këmishë femrash","luajtshme","objekt_luajtshme","i panjohur","","N.A.","Kosovë","42.6638771","21.1640849","7513450.997","4724920.686","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","OSM Nominatim (Prishtinë, Kosovo)","e përafërt","e mirë","e pa përcaktuar","Këmishë femrash- Pjesë e veshjës popullore të Drenicës. Është e punuar prej pelhurës e endur në vek. Si te mëngët ashtu edhe tek jaka është e zbukuruar me motive të ndryshme dhe ngjyra të shumëllojshme. Shek.XX","DTK","https://dtk.rks-gov.net/Objekti?heritageId=9825","po","klasa=N.A.; heritageId=9825"
"LUA-011","Këmishë femrash","luajtshme","objekt_luajtshme","i panjohur","","N.A.","Kosovë","42.2663000","21.2947000","7524311.633","4680790.314","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","OSM Nominatim / DTK","e përafërt","e mirë","e pa përcaktuar","Këmishë femrash-është pjesë e veshjes popullore të Medvegjes, nga pëlhura e endur ne vek. Mëngët dhe jaka janë të qendisura me gjilpër me motive të ndryshme.","DTK","https://dtk.rks-gov.net/Objekti?heritageId=9826","po","klasa=N.A.; heritageId=9826"
